loss,val_loss,learning rate
0.6658891439437866,0.5546224117279053,1e-04
0.5560177564620972,0.534896731376648,1e-04
0.5690330862998962,0.5179314613342285,1e-04
0.5666929483413696,0.5103591680526733,1e-04
0.529546320438385,0.4972490072250366,1e-04
0.5188385248184204,0.4982870817184448,1e-04
0.46676668524742126,0.4793645441532135,1e-04
0.5126500725746155,0.470339834690094,1e-04
0.4996907114982605,0.46424806118011475,1e-04
0.4765976369380951,0.4565395712852478,1e-04
0.4888227880001068,0.442870169878006,1e-04
0.4604759216308594,0.4281826913356781,1e-04
0.4712693691253662,0.42667919397354126,1e-04
0.4591558873653412,0.4179084599018097,1e-04
0.4713671803474426,0.41369783878326416,1e-04
0.43735823035240173,0.42135855555534363,1e-04
0.46511930227279663,0.4197999835014343,1e-04
0.4519985616207123,0.42480504512786865,1e-04
0.4530807137489319,0.42881447076797485,1e-04
0.39631062746047974,0.42588502168655396,1e-04
0.4282378554344177,0.42451706528663635,1e-04
0.43568676710128784,0.4206082820892334,1e-04
0.44086042046546936,0.42141103744506836,1e-04
0.4210512042045593,0.42165958881378174,1e-04
0.4155488610267639,0.4204215407371521,1e-04
0.3940470814704895,0.43122178316116333,1e-04
0.40855249762535095,0.4529857039451599,1e-04
0.39630061388015747,0.42955121397972107,1e-04
0.41831937432289124,0.4236409664154053,1e-04
0.4074787497520447,0.41099438071250916,1e-04
0.3908594250679016,0.4027383327484131,1e-04
0.40585166215896606,0.4078277349472046,1e-04
0.42878133058547974,0.41170889139175415,1e-04
0.4091700613498688,0.4211616516113281,1e-04
0.41984158754348755,0.4281335175037384,1e-04
0.4028051495552063,0.45160430669784546,1e-04
0.3986399173736572,0.4927750825881958,1e-04
0.38355299830436707,0.46914783120155334,1e-04
0.42314833402633667,0.4454902112483978,1e-04
0.39572304487228394,0.4362492859363556,1e-04
0.3817931115627289,0.4178723096847534,1e-04
0.38174915313720703,0.42135146260261536,1e-04
0.39054274559020996,0.4188704788684845,1e-04
0.3759768605232239,0.42626672983169556,1e-04
0.38764435052871704,0.4565107524394989,1e-04
0.3741506040096283,0.4525347948074341,1e-04
0.36549049615859985,0.442508339881897,1e-04
0.3825341761112213,0.42657649517059326,1e-04
0.3634807765483856,0.41246238350868225,1e-04
0.38632893562316895,0.41102176904678345,1e-04
0.39061400294303894,0.41689610481262207,1e-04
0.37708571553230286,0.4212789833545685,1e-04
0.38226771354675293,0.41645586490631104,1e-04
0.40647977590560913,0.404988169670105,1e-04
0.36685991287231445,0.40019750595092773,1e-04
0.37692567706108093,0.3950541317462921,1e-04
0.3745758533477783,0.40187931060791016,1e-04
0.37516364455223083,0.4030402600765228,1e-04
0.3828834891319275,0.40144169330596924,1e-04
0.3810364603996277,0.39946186542510986,1e-04
0.36789655685424805,0.3936256468296051,1e-04
0.3665638267993927,0.3922053575515747,1e-04
0.3888862729072571,0.4007340669631958,1e-04
0.36027199029922485,0.4135202169418335,1e-04
0.35251396894454956,0.4250522255897522,1e-04
0.3666840195655823,0.42425504326820374,1e-04
0.40250808000564575,0.41680580377578735,1e-04
0.37408703565597534,0.413996160030365,1e-04
0.3575478196144104,0.4125649631023407,1e-04
0.38750073313713074,0.4139842987060547,1e-04
0.36565884947776794,0.4143936336040497,1e-04
0.35569971799850464,0.41475552320480347,1e-04
0.40039435029029846,0.4240414798259735,1e-04
0.36400699615478516,0.4273548722267151,1e-04
0.3339259624481201,0.410931795835495,1e-04
0.36612236499786377,0.42233866453170776,1e-04
0.3561622202396393,0.428650438785553,1e-04
0.3495961129665375,0.42688828706741333,1e-04
0.3586212992668152,0.43612760305404663,1e-04
0.3746575117111206,0.44040077924728394,1e-04
0.3617230951786041,0.43929728865623474,1e-04
0.3622124493122101,0.429953932762146,1e-04
0.34546270966529846,0.4204075336456299,1e-04
0.37641671299934387,0.41482558846473694,1e-04
0.34713977575302124,0.4369395673274994,1e-04
0.3721190392971039,0.4682619273662567,1e-04
0.37717950344085693,0.49277013540267944,1e-04
0.35928040742874146,0.48319074511528015,1e-04
0.35528799891471863,0.45107561349868774,1e-04
0.3391733765602112,0.43745777010917664,1e-04
0.3599148392677307,0.4521442651748657,1e-04
0.35289257764816284,0.46566036343574524,1e-04
0.3493468761444092,0.45073217153549194,1e-04
0.35208868980407715,0.44842439889907837,1e-04
0.3668764531612396,0.44293317198753357,1e-04
0.355250746011734,0.43285202980041504,1e-04
